experiment	group	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
tdT_Expression	cluster_10_down	R-MMU-163210	Formation of ATP by chemiosmotic coupling	9/102	18/8828	1.14347938501703e-13	2.07866386562622e-11	1.76861560441257e-11	Atp5g2/Atp5l/Atp5g1/Atp5j2/Atp5g3/Atp5c1/Atp5pb/Atp5a1/Atp5h	9
tdT_Expression	cluster_10_down	R-MMU-8949613	Cristae formation	9/102	18/8828	1.14347938501703e-13	2.07866386562622e-11	1.76861560441257e-11	Atp5g2/Atp5l/Atp5g1/Atp5j2/Atp5g3/Atp5c1/Atp5pb/Atp5a1/Atp5h	9
tdT_Expression	cluster_10_down	R-MMU-1592230	Mitochondrial biogenesis	10/102	26/8828	1.23240940649776e-13	2.07866386562622e-11	1.76861560441257e-11	Atp5g2/Sod2/Atp5l/Atp5g1/Atp5j2/Atp5g3/Atp5c1/Atp5pb/Atp5a1/Atp5h	10
tdT_Expression	cluster_10_down	R-MMU-163200	Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.	14/102	82/8828	3.48429880467561e-13	4.40763798791464e-11	3.75020581871664e-11	Atp5g2/Atp5l/Ndufb8/Ndufa6/Atp5g1/Atp5j2/Atp5g3/Atp5c1/Ndufv2/Atp5pb/Atp5a1/Ndufb3/Atp5h/Ndufb5	14
tdT_Expression	cluster_10_down	R-MMU-1799339	SRP-dependent cotranslational protein targeting to membrane	14/102	91/8828	1.55542333885163e-12	1.57408841891785e-10	1.33930135913751e-10	Rps29/Rps9/Rps25/Rps14/Rpl23/Rpl18a/Rps3/Rps23/Rps5/Rpl26/Rps13/Rpl14/Rpl32/Rps19	14
tdT_Expression	cluster_10_down	R-MMU-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	14/102	93/8828	2.11946500763339e-12	1.78741548977082e-10	1.52080910196852e-10	Rps29/Rps9/Rps25/Rps14/Rpl23/Rpl18a/Rps3/Rps23/Rps5/Rpl26/Rps13/Rpl14/Rpl32/Rps19	14
tdT_Expression	cluster_10_down	R-MMU-72689	Formation of a pool of free 40S subunits	14/102	100/8828	5.91167469132497e-12	4.27329627687205e-10	3.63590217857431e-10	Rps29/Rps9/Rps25/Rps14/Rpl23/Rpl18a/Rps3/Rps23/Rps5/Rpl26/Rps13/Rpl14/Rpl32/Rps19	14
tdT_Expression	cluster_10_down	R-MMU-156827	L13a-mediated translational silencing of Ceruloplasmin expression	14/102	110/8828	2.23700065967676e-11	1.41490291724555e-09	1.20385956553657e-09	Rps29/Rps9/Rps25/Rps14/Rpl23/Rpl18a/Rps3/Rps23/Rps5/Rpl26/Rps13/Rpl14/Rpl32/Rps19	14
tdT_Expression	cluster_10_down	R-MMU-72706	GTP hydrolysis and joining of the 60S ribosomal subunit	14/102	111/8828	2.53587070901409e-11	1.42572286529015e-09	1.21306563741142e-09	Rps29/Rps9/Rps25/Rps14/Rpl23/Rpl18a/Rps3/Rps23/Rps5/Rpl26/Rps13/Rpl14/Rpl32/Rps19	14
tdT_Expression	cluster_10_down	R-MMU-927802	Nonsense-Mediated Decay (NMD)	14/102	113/8828	3.24624338189056e-11	1.49327195566966e-09	1.270539275783e-09	Rps29/Rps9/Rps25/Rps14/Rpl23/Rpl18a/Rps3/Rps23/Rps5/Rpl26/Rps13/Rpl14/Rpl32/Rps19	14
tdT_Expression	cluster_10_down	R-MMU-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	14/102	113/8828	3.24624338189056e-11	1.49327195566966e-09	1.270539275783e-09	Rps29/Rps9/Rps25/Rps14/Rpl23/Rpl18a/Rps3/Rps23/Rps5/Rpl26/Rps13/Rpl14/Rpl32/Rps19	14
tdT_Expression	cluster_10_down	R-MMU-72613	Eukaryotic Translation Initiation	14/102	118/8828	5.89196585758384e-11	2.29333440302879e-09	1.95126642570995e-09	Rps29/Rps9/Rps25/Rps14/Rpl23/Rpl18a/Rps3/Rps23/Rps5/Rpl26/Rps13/Rpl14/Rpl32/Rps19	14
tdT_Expression	cluster_10_down	R-MMU-72737	Cap-dependent Translation Initiation	14/102	118/8828	5.89196585758384e-11	2.29333440302879e-09	1.95126642570995e-09	Rps29/Rps9/Rps25/Rps14/Rpl23/Rpl18a/Rps3/Rps23/Rps5/Rpl26/Rps13/Rpl14/Rpl32/Rps19	14
tdT_Expression	cluster_10_down	R-MMU-1428517	The citric acid (TCA) cycle and respiratory electron transport	14/102	133/8828	3.00026681025888e-10	1.08438214713643e-08	9.22638440147281e-09	Atp5g2/Atp5l/Ndufb8/Ndufa6/Atp5g1/Atp5j2/Atp5g3/Atp5c1/Ndufv2/Atp5pb/Atp5a1/Ndufb3/Atp5h/Ndufb5	14
tdT_Expression	cluster_10_down	R-MMU-72695	Formation of the ternary complex, and subsequently, the 43S complex	9/102	51/8828	5.22316940362978e-09	1.76194914549111e-07	1.49914125339269e-07	Rps29/Rps9/Rps25/Rps14/Rps3/Rps23/Rps5/Rps13/Rps19	9
tdT_Expression	cluster_10_down	R-MMU-6791226	Major pathway of rRNA processing in the nucleolus and cytosol	14/102	175/8828	1.12051347442653e-08	3.14988787811013e-07	2.6800585440962e-07	Rps29/Rps9/Rps25/Rps14/Rpl23/Rpl18a/Rps3/Rps23/Rps5/Rpl26/Rps13/Rpl14/Rpl32/Rps19	14
tdT_Expression	cluster_10_down	R-MMU-72312	rRNA processing	14/102	175/8828	1.12051347442653e-08	3.14988787811013e-07	2.6800585440962e-07	Rps29/Rps9/Rps25/Rps14/Rpl23/Rpl18a/Rps3/Rps23/Rps5/Rpl26/Rps13/Rpl14/Rpl32/Rps19	14
tdT_Expression	cluster_10_down	R-MMU-8868773	rRNA processing in the nucleus and cytosol	14/102	175/8828	1.12051347442653e-08	3.14988787811013e-07	2.6800585440962e-07	Rps29/Rps9/Rps25/Rps14/Rpl23/Rpl18a/Rps3/Rps23/Rps5/Rpl26/Rps13/Rpl14/Rpl32/Rps19	14
tdT_Expression	cluster_10_down	R-MMU-72649	Translation initiation complex formation	9/102	58/8828	1.71017422713601e-08	4.32674079465411e-07	3.68137504683489e-07	Rps29/Rps9/Rps25/Rps14/Rps3/Rps23/Rps5/Rps13/Rps19	9
tdT_Expression	cluster_10_down	R-MMU-72702	Ribosomal scanning and start codon recognition	9/102	58/8828	1.71017422713601e-08	4.32674079465411e-07	3.68137504683489e-07	Rps29/Rps9/Rps25/Rps14/Rps3/Rps23/Rps5/Rps13/Rps19	9
tdT_Expression	cluster_10_down	R-MMU-72662	Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	9/102	59/8828	1.99885113306158e-08	4.81627939680552e-07	4.09789530537437e-07	Rps29/Rps9/Rps25/Rps14/Rps3/Rps23/Rps5/Rps13/Rps19	9
tdT_Expression	cluster_10_down	R-MMU-390522	Striated Muscle Contraction	7/102	33/8828	7.45792653820028e-08	1.71532310378606e-06	1.45946983450905e-06	Des/Tnnc2/Acta1/Tnni2/Myl1/Tnnt3/Tpm1	7
tdT_Expression	cluster_10_down	R-MMU-72766	Translation	14/102	223/8828	2.3812335658511e-07	5.23871384487241e-06	4.45732049626132e-06	Rps29/Rps9/Rps25/Rps14/Rpl23/Rpl18a/Rps3/Rps23/Rps5/Rpl26/Rps13/Rpl14/Rpl32/Rps19	14
tdT_Expression	cluster_10_down	R-MMU-397014	Muscle contraction	10/102	177/8828	3.52501281311533e-05	0.000743190201431816	0.000632337824808847	Des/Tnnc2/Acta1/Tnni2/Myl1/Mylpf/Tnnt3/Calm1/Atp2b1/Tpm1	10
tdT_Expression	cluster_10_down	R-MMU-1852241	Organelle biogenesis and maintenance	10/102	224/8828	0.000250588031098082	0.00507190174942518	0.00431538967238381	Atp5g2/Sod2/Atp5l/Atp5g1/Atp5j2/Atp5g3/Atp5c1/Atp5pb/Atp5a1/Atp5h	10
tdT_Expression	cluster_10_down	R-MMU-1679131	Trafficking and processing of endosomal TLR	3/102	12/8828	0.00030545227638841	0.00594457122509752	0.00505789396934655	Lgmn/Ctss/Unc93b1	3
tdT_Expression	cluster_10_down	R-MMU-6799198	Complex I biogenesis	5/102	54/8828	0.000376675840063224	0.0070591842619256	0.00600625413590092	Ndufb8/Ndufa6/Ndufv2/Ndufb3/Ndufb5	5
tdT_Expression	cluster_10_down	R-MMU-166786	Creation of C4 and C2 activators	3/102	14/8828	0.000496954763639177	0.00898068251433655	0.00764114655370012	C1qa/C1qc/C1qb	3
tdT_Expression	cluster_10_down	R-MMU-611105	Respiratory electron transport	5/102	59/8828	0.000569719912808565	0.00994063020279773	0.00845791086528869	Ndufb8/Ndufa6/Ndufv2/Ndufb3/Ndufb5	5
tdT_Expression	cluster_10_down	R-MMU-168898	Toll-like Receptor Cascades	7/102	134/8828	0.000884777289673961	0.0149232436191675	0.0126973302272509	Lgmn/Ctss/Cd14/Unc93b1/Ubc/Map2k3/Nfkb1	7
tdT_Expression	cluster_10_down	R-MMU-977606	Regulation of Complement cascade	4/102	38/8828	0.000917059997434535	0.0149687857645766	0.0127360794210772	C1qa/C1qc/C1qb/Cfh	4
tdT_Expression	cluster_10_down	R-MMU-166663	Initial triggering of complement	3/102	20/8828	0.00147995337214317	0.0234017626970138	0.0199112147765314	C1qa/C1qc/C1qb	3
tdT_Expression	cluster_10_down	R-MMU-114608	Platelet degranulation 	6/102	115/8828	0.00209177759020723	0.0320739230498442	0.0272898575564516	Pf4/Srgn/Selenop/Calm1/Ecm1/Aldoa	6
tdT_Expression	cluster_10_down	R-MMU-166658	Complement cascade	4/102	49/8828	0.00238888484493973	0.0355522273982206	0.0302493467981532	C1qa/C1qc/C1qb/Cfh	4
tdT_Expression	cluster_10_down	R-MMU-76005	Response to elevated platelet cytosolic Ca2+	6/102	120/8828	0.00259287424210309	0.0374855533286904	0.0318943027073733	Pf4/Srgn/Selenop/Calm1/Ecm1/Aldoa	6
tdT_Expression	cluster_10_down	R-MMU-2559583	Cellular Senescence	7/102	169/8828	0.00334555603518537	0.0470236487167721	0.0400097198359888	Cebpb/H3f3b/Kdm6b/Ubc/H3f3a/Map2k3/Cdkn1a	7
tdT_Expression	cluster_10_up	R-MMU-1474244	Extracellular matrix organization	32/76	271/8828	5.05513927909174e-29	1.2840053768893e-26	1.06423984822984e-26	Col11a1/Col11a2/Comp/Htra1/Col12a1/Ctsk/Col1a2/Col1a1/Dcn/Col6a1/Matn4/Sparc/Col8a2/Col6a2/Tnc/Mfap4/Mmp2/Loxl2/Lox/Ltbp1/Pcolce/Col16a1/Pdgfa/Fn1/Ltbp3/Serpinh1/Bgn/Mmp14/Col5a2/Emilin1/Mfap2/Timp1	32
tdT_Expression	cluster_10_up	R-MMU-3000178	ECM proteoglycans	12/76	44/8828	1.13622365099028e-15	1.44300403675766e-13	1.19602489577925e-13	Comp/Col1a2/Col1a1/Dcn/Col6a1/Matn4/Sparc/Col6a2/Tnc/Fn1/Bgn/Col5a2	12
tdT_Expression	cluster_10_up	R-MMU-1474290	Collagen formation	14/76	81/8828	4.06106666206447e-15	3.43836977388125e-13	2.84987134179963e-13	Col11a1/Col11a2/Col12a1/Col1a2/Col1a1/Col6a1/Col8a2/Col6a2/Loxl2/Lox/Pcolce/Col16a1/Serpinh1/Col5a2	14
tdT_Expression	cluster_10_up	R-MMU-1474228	Degradation of the extracellular matrix	16/76	130/8828	9.8213178458948e-15	6.2365368321432e-13	5.16911465573411e-13	Col11a1/Col11a2/Htra1/Col12a1/Ctsk/Col1a2/Col1a1/Dcn/Col6a1/Col8a2/Col6a2/Mmp2/Fn1/Mmp14/Col5a2/Timp1	16
tdT_Expression	cluster_10_up	R-MMU-1442490	Collagen degradation	12/76	55/8828	2.19468836314915e-14	1.11490168847977e-12	9.24079310799643e-13	Col11a1/Col11a2/Col12a1/Ctsk/Col1a2/Col1a1/Col6a1/Col8a2/Col6a2/Mmp2/Mmp14/Col5a2	12
tdT_Expression	cluster_10_up	R-MMU-2022090	Assembly of collagen fibrils and other multimeric structures	12/76	57/8828	3.49071227329189e-14	1.47773486236023e-12	1.22481132396207e-12	Col11a1/Col11a2/Col12a1/Col1a2/Col1a1/Col6a1/Col8a2/Col6a2/Loxl2/Lox/Pcolce/Col5a2	12
tdT_Expression	cluster_10_up	R-MMU-1650814	Collagen biosynthesis and modifying enzymes	12/76	59/8828	5.45106202539289e-14	1.97795679207113e-12	1.6394171504941e-12	Col11a1/Col11a2/Col12a1/Col1a2/Col1a1/Col6a1/Col8a2/Col6a2/Pcolce/Col16a1/Serpinh1/Col5a2	12
tdT_Expression	cluster_10_up	R-MMU-8948216	Collagen chain trimerization	10/76	39/8828	6.31510255054388e-13	2.00504505979768e-11	1.66186909224839e-11	Col11a1/Col11a2/Col12a1/Col1a2/Col1a1/Col6a1/Col8a2/Col6a2/Col16a1/Col5a2	10
tdT_Expression	cluster_10_up	R-MMU-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	12/76	116/8828	2.27869696498226e-10	6.43098921228326e-09	5.33028529820411e-09	Mfge8/Mxra8/Chrdl1/Tnc/Igfbp6/Ltbp1/Igf1/Fn1/Lgals1/Timp1/Ccn1/Cst3	12
tdT_Expression	cluster_10_up	R-MMU-216083	Integrin cell surface interactions	10/76	71/8828	3.6848186970984e-10	9.35943949062995e-09	7.75751304652296e-09	Comp/Col1a2/Col1a1/Col6a1/Col8a2/Col6a2/Tnc/Col16a1/Fn1/Col5a2	10
tdT_Expression	cluster_10_up	R-MMU-1566948	Elastic fibre formation	8/76	42/8828	1.93140831194118e-09	4.459797374846e-08	3.69647523816494e-08	Mfap4/Loxl2/Lox/Ltbp1/Fn1/Ltbp3/Emilin1/Mfap2	8
tdT_Expression	cluster_10_up	R-MMU-8957275	Post-translational protein phosphorylation	10/76	110/8828	2.86498123396449e-08	6.06421027855816e-07	5.02628286660436e-07	Mfge8/Mxra8/Chrdl1/Tnc/Ltbp1/Fn1/Lgals1/Timp1/Ccn1/Cst3	10
tdT_Expression	cluster_10_up	R-MMU-3000171	Non-integrin membrane-ECM interactions	7/76	39/8828	3.26336950803962e-08	6.37612196186204e-07	5.28480891990223e-07	Col11a1/Col11a2/Col1a2/Col1a1/Pdgfa/Fn1/Col5a2	7
tdT_Expression	cluster_10_up	R-MMU-8874081	MET activates PTK2 signaling	6/76	26/8828	6.69107145399612e-08	1.21395153522501e-06	1.00617615849566e-06	Col11a1/Col11a2/Col1a2/Col1a1/Fn1/Col5a2	6
tdT_Expression	cluster_10_up	R-MMU-2243919	Crosslinking of collagen fibrils	5/76	18/8828	3.24979382082371e-07	5.38142400069479e-06	4.460359718769e-06	Col1a2/Col1a1/Loxl2/Lox/Pcolce	5
tdT_Expression	cluster_10_up	R-MMU-186797	Signaling by PDGF	7/76	54/8828	3.38987338626444e-07	5.38142400069479e-06	4.460359718769e-06	Thbs4/Col6a1/Thbs2/Col6a2/Pdgfa/Col5a2/Thbs3	7
