experiment	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene	avg_log2FC
tdT_Expression	0	1.72761557261651	0.89	0.338	0	1	Tnfaip6	2.49242241917638
tdT_Expression	0	1.67536560832749	0.892	0.293	0	1	Has1	2.41704165480999
tdT_Expression	0	1.59825291231112	0.921	0.459	0	1	Cxcl1	2.3057915506776
tdT_Expression	0	1.43432098020622	0.494	0.085	0	1	Ptx3	2.06928776518651
tdT_Expression	0	1.27444178452524	0.949	0.643	0	1	Gsn	1.83863084243625
tdT_Expression	0	1.1811321360483	0.529	0.103	0	1	Il6	1.70401347531146
tdT_Expression	0	1.05186208747695	0.511	0.155	0	1	Cxcl14	1.51751621730211
tdT_Expression	0	1.03969675544685	0.98	0.659	0	1	Dcn	1.49996535311152
tdT_Expression	0	1.02473927799152	0.824	0.273	0	1	Clec3b	1.4783862745625
tdT_Expression	0	1.00629611003455	0.767	0.312	0	1	Ugdh	1.4517784076127
tdT_Expression	0	0.987201214426977	0.593	0.159	0	1	Ptgs2	1.42423029641336
tdT_Expression	0	0.976393717556613	0.969	0.518	0	1	Serping1	1.40863837427406
tdT_Expression	0	0.96645476567714	0.813	0.491	0	1	Cebpd	1.39429949768591
tdT_Expression	0	0.961785614717723	0.672	0.225	0	1	Smoc2	1.3875633367516
tdT_Expression	0	0.874383069732263	0.918	0.507	0	1	Ly6a	1.26146811854
tdT_Expression	0	0.869784407155154	0.809	0.308	0	1	Col14a1	1.25483365084529
tdT_Expression	0	0.866457577687696	0.958	0.585	0	1	Mfap5	1.2500340504707
tdT_Expression	0	0.856002360275285	1	0.833	0	1	Col3a1	1.2349503601584
tdT_Expression	0	0.853173480996277	0.687	0.249	0	1	Pi16	1.2308691500513
tdT_Expression	0	0.847230068755345	0.938	0.531	0	1	Lum	1.22229461868535
tdT_Expression	0	0.846759596245411	0.949	0.713	0	1	Igfbp4	1.22161587032839
tdT_Expression	0	0.843088919768392	0.989	0.709	0	1	Fstl1	1.21632020357829
tdT_Expression	0	0.838374972144371	0.954	0.715	0	1	Klf4	1.20951941471811
tdT_Expression	0	0.836643907302442	0.532	0.154	0	1	Apod	1.2070220160552
tdT_Expression	0	0.831036346963811	0.996	0.884	0	1	Fos	1.19893201656317
tdT_Expression	0	0.810111458864566	0.433	0.115	0	1	Ccl11	1.16874378427123
tdT_Expression	0	0.799364591695289	0.882	0.409	0	1	Dpt	1.15323933230103
tdT_Expression	0	0.795191096873549	0.961	0.737	0	1	Fosb	1.14721825201852
tdT_Expression	0	0.787222657197708	0.715	0.243	0	1	Lbp	1.13572222361457
tdT_Expression	0	0.782195037467638	0.393	0.093	0	1	Myoc	1.12846890156252
tdT_Expression	0	0.775715515983765	0.85	0.47	0	1	Nid1	1.1191209280504
tdT_Expression	0	0.772595187115718	0.795	0.37	0	1	Gem	1.11461924506653
tdT_Expression	0	0.756953509899641	0.524	0.16	0	1	Sfrp1	1.09205307491571
tdT_Expression	0	0.738260251948923	0.776	0.244	0	1	C1s1	1.06508440437215
tdT_Expression	0	0.735575953989405	0.956	0.561	0	1	Fbn1	1.06121178101768
tdT_Expression	0	0.72396151628858	0.553	0.128	0	1	Ifi205	1.04445568934399
tdT_Expression	0	0.720810691707496	0.985	0.849	0	1	Mt1	1.03991001034615
tdT_Expression	0	0.720636173772261	0.897	0.496	0	1	Pcolce	1.03965823418644
tdT_Expression	0	0.714445607555302	0.639	0.181	0	1	Tnxb	1.03072713500494
tdT_Expression	0	0.712373731180469	0.798	0.456	0	1	Nr4a1	1.02773804923363
tdT_Expression	0	0.708062887603766	0.58	0.179	0	1	Sfrp4	1.02151881658347
tdT_Expression	0	0.695698773075475	0.752	0.343	0	1	Gas1	1.00368116986852
