p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene	avg_log2FC
0	1.89911747792275	0.943	0.664	0	cluster_1	Gsn	2.7398473674647
0	1.74490921270355	0.971	0.367	0	cluster_1	Mfap5	2.51737186796887
0	1.64167063619501	0.978	0.428	0	cluster_1	Dcn	2.36843008561157
0	1.56957254173748	0.842	0.274	0	cluster_1	Cilp	2.26441452228015
0	1.53629933918912	0.985	0.612	0	cluster_1	Col3a1	2.21641143796914
0	1.50186749789438	0.808	0.142	0	cluster_1	Clec3b	2.16673679128454
0	1.48712985472418	0.61	0.174	0	cluster_1	Igfbp5	2.1454748665685
0	1.4801455272562	0.959	0.347	0	cluster_1	Fbn1	2.1353986119665
0	1.4685063245488	0.938	0.301	0	cluster_1	Lum	2.11860679194063
0	1.45970032192027	0.718	0.147	0	cluster_1	Pi16	2.1059024156184
0	1.40701081952361	0.98	0.466	0	cluster_1	Fstl1	2.02988753180382
0	1.40141796234139	0.928	0.373	0	cluster_1	Igfbp6	2.02181874448264
0	1.36027868475579	0.684	0.192	0	cluster_1	Has1	1.96246731272414
0	1.34095778741265	0.454	0.113	0	cluster_1	Cxcl14	1.93459314994167
0	1.32624716318104	0.672	0.116	0	cluster_1	Smoc2	1.91337020531435
0	1.30306518412783	0.939	0.315	0	cluster_1	Serping1	1.87992567909628
0	1.29956622631605	0.825	0.339	0	cluster_1	Mgp	1.87487775001295
0	1.20624998245388	0.482	0.093	0	cluster_1	Eln	1.74025086775861
0	1.17135220053904	0.91	0.314	0	cluster_1	Pcolce	1.68990401085205
0	1.16929645029269	0.874	0.275	0	cluster_1	Nid1	1.68693819016633
0	1.13516180067998	0.731	0.253	0	cluster_1	Tnfaip6	1.63769230044759
0	1.1313334049485	0.376	0.039	0	cluster_1	Myoc	1.63216909291123
0	1.13043647285836	0.862	0.282	0	cluster_1	Ltbp4	1.63087509343276
0	1.10718149913546	0.867	0.237	0	cluster_1	Dpt	1.59732525816673
0	1.10628593771751	0.699	0.263	0	cluster_1	Ccn2	1.59603323615024
0	1.10155731557882	0.868	0.342	0	cluster_1	Itm2a	1.58921127644052
0	1.09202447184776	0.74	0.261	0	cluster_1	Col8a1	1.57545829006416
0	1.08906956893182	0.852	0.261	0	cluster_1	Ccdc80	1.57119526628102
0	1.07576795360374	0.944	0.505	0	cluster_1	Igfbp4	1.55200509181138
0	1.06250312185082	0.971	0.418	0	cluster_1	Col5a2	1.53286798482321
0	1.0383144533664	0.957	0.375	0	cluster_1	Col6a1	1.49797111275504
0	1.02818504832134	0.614	0.086	0	cluster_1	Tnxb	1.48335747032938
0	1.02233783453621	0.931	0.357	0	cluster_1	Serpinf1	1.47492172399855
0	1.01964080397417	0.71	0.127	0	cluster_1	Cd248	1.47103073138158
0	1.01961282218258	0.663	0.14	0	cluster_1	Lbp	1.47099036218961
0	1.00609239871448	0.784	0.187	0	cluster_1	Islr	1.45148451430146
0	1.00355913403632	0.545	0.091	0	cluster_1	Sfrp4	1.44782978591302
0	0.987217497648992	0.742	0.198	0	cluster_1	Gas1	1.42425378813701
0	0.980035762540821	0.799	0.221	0	cluster_1	Cd34	1.41389273451148
0	0.976697071027259	0.742	0.16	0	cluster_1	Col14a1	1.4090760208218
0	0.975781185429159	0.917	0.307	0	cluster_1	Col6a2	1.4077546772114
0	0.972343722029975	0.92	0.456	0	cluster_1	Ly6a	1.40279546581216
0	0.972286913428444	0.985	0.63	0	cluster_1	Sparc	1.40271350832445
0	0.961811162822776	0.89	0.393	0	cluster_1	Postn	1.38760019487607
0	0.948070809324856	0.959	0.375	0	cluster_1	Col5a1	1.36777705502456
0	0.937810214492047	0.802	0.227	0	cluster_1	Fbln2	1.35297414574269
0	0.932184097378147	0.672	0.226	0	cluster_1	Ugdh	1.34485737448301
0	0.924779686933511	0.908	0.302	0	cluster_1	Aspn	1.33417506825383
