0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Samd4	Prkca	Dock10	Ebf1	Fnip2	Adgrg3	Mcrip2	Rora	Syne1	Pdgfrl	Pepd	Hlf	Cep55	Scn5a	Pawr	Serpini1
Fgfr1	Dlc1	Zc3h12c	Syne1	Nrp2	Sorbs1	Prr33	Dmd	Eya4	Pdgfra	Slc9a9	Gramd3	Tacc3	Adgre5	Timp3	Cip2a
Id3	Tshz2	Mapkapk3	Cry2	Sash1	Plcb1	Adprhl1	Nav2	Col6a3	Postn	Dock2	Prkcd	Hjurp	Ptprk	Cacna1c	Bmp4
Ugdh	Gramd3	Lyn	Creb5	Hyal3	Ptpre	Ttc9	Lama2	Cacna1c	Id3	Hk3	Top2a	Musk	Tanc2	Kcnab1	Dennd5b
Man1a	Creb5	Slc38a1	Tm4sf1	Cd86	Plxna2	Tpm2	Arhgap28	Npas3	Endou	Pid1	Tbc1d4	Ank3	Musk	Pde3a	Adgrl2
Uck2	Tgfbr3	Rbm47	Sema3c	Tns3	Acr	Cdc34	Syne2	Dlc1	Fstl1	Tnfrsf1b	Dennd4a	Brca1	Tnik	Akap12	Ptprm
Osmr	Dbn1	Rab11fip1	Nfatc1	Mrm2	Dgkh	S100a6	Col5a2	Fn1	Aspn	Por	Ezr	Scn5a	Asb5	Gcnt2	Flt4
Arl13b	Cacna1c	Nrp2	Dlc1	Cacna1d	Magi1	Hspb2	Pkp4	Ptpn13	Scn7a	Eps8	Myo1f	Eya4	Myo10	Gjc1	Kdr
Tgfb2	Ptpn13	Abr	Plagl1	Sh2b2	Sp100	Rab40b	Plxdc2	Plod2	Cd34	Blnk	Epsti1	Npas3	Dlg2	Adamts2	Mecom
Plagl1	Ugp2	Prr5l	Prkca	Ankrd33b	Mecom	Mgll	Cep128	Pdlim1	Mmp2	Slc38a1	Dhx40	Matn2	Prox1	Epas1	Nedd9
Gramd3	Col12a1	C9orf72	Add3	Zdhhc14	Parvb	Tnnt1	Abcb1b	Col4a1	Dbn1	Wdr91	Rassf3	Jcad	Met	Dlc1	Tinagl1
Nfatc1	Osmr	Cdk6	Myo1b	Fam129b	Arhgef3	Rasgrp3	Sytl5	Col27a1	Tnfaip6	Abca1	Ptpn13	Col19a1	Dmd	Flt1	Plcb1
Col27a1	Heg1	Ptprj	Pdlim1	Prkcb	Cnn3	Csf1	Slc43a2	Dgkh	Fbn2	Fam129b	Cpm	Fam160b1	Abcc9	Tinagl1	Magi1
Creb5	Scn7a	Rasa4	Serpine1	Snx8	Mgat4a	Nexn	Pdzd2	Cry2	Thbs2	Basp1	Rgs2	Sncaip	Deptor	Ets1	Mef2c
Kif21a	Crip1	Pitpnc1	Gem	Lyn	Kdr	Pdk4	Arhgap42	Ctdspl	Dtd1	Camk1d	Gmfg	Il34	Arhgap28	Pla1a	Mgat4a
Flnb	Gfpt2	Tbc1d9	Crip1	Cbl	Cobll1	Ldb3	Col8a1	Wee1	Ifngr1	Tbc1d9	Arg2	Myo1g	Dag1	Prdm16	Aplnr
Sox9	Ctdspl	Tet3	Gpcpd1	Cpeb4	Actn1	Svep1	Musk	Cnn3	Add3	Prkcb	4930523C07Rik	Abca5	Plxdc2	Lin7a	Adgrg3
Col12a1	Lhfpl2	Tns3	Nr4a2	Gramd1b	Unc13b	Pde4dip	Sncaip	Gem	Fbln2	Plaur	Fli1	Bend7	Chd7	Tpm1	Tal1
Fosl1	Has1	Ms4a14	Cacna1c	Blnk	Tal1	Lsm6	Hs6st3	Slc12a2	Tshz2	Clec2d	Dgat1	Map2	Fgfr4	Serping1	Zfp711
Tnc	Rif1	Lilr4b	Pxdn	Aph1c	Mef2c	Popdc3	Adamts2	Ptprg	Igfbp5	Tns3	Stat1	Adamts2	Tjp1	Tmem100	Tmpo
Ets1	Mt2	Prkcb	Col27a1	Notch2	Lama4	Ankrd10	Tenm4	Prkca	Ugdh	Cd86	Fosl1	Scube2	Zfp568	Slc35f1	Tspan12
Kdm1a	Ifi204	Slc49a4	Fscn1	Slc16a10	Rasip1	Adamts5	Dnm3	Nr4a2	Lamb2	Rapgef2	Ankrd44	Otoa	Pkp4	Crispld2	Flt1
Ackr3	Map1b	Rapgef2	Col6a3	Ptprj	Flt1	Bdh1	Hmcn2	Tshz2	Gbp2	Rbm47	Abcg1	Arhgap28	P2ry14	Itga1	Gimap6
Spsb1	Col4a2	Malt1	Tgfbr3	Slc49a4	Dennd3	Mef2c	Ncam1	Itga8	Rif1	Nrp2	Tox	Dennd5b	Arhgap18	Il34	Itga6
Ifi204	Adamts10	Galnt6	Tshz2	Txnrd1	Abcg2	Myom1	Csmd1	Bcr	Fbn1	Slc15a3	Abcb1a	Deptor	Drp2	Nr2f2	Cobll1
Ugp2	Afdn	Por	Plat	Sh3bp2	Sgk1	Synpo2	Grin2a	Samd4	Rflnb	Lcp2	Arap2	Ptprz1	Eya4	Tmpo	Tek
Pxdn	Dock9	Pfkfb3	Gramd3	Ampd3	Limch1	Fst	Greb1	Fscn1	Nr4a2	Osbpl8	Plbd1	P2ry14	Megf10	Ctdspl	Sorbs1
Pmepa1	Uap1	Cbl	Fhl2	Mdm2	Gda	Emb	Ltbp1	Myo1b	Col12a1	Lgals3	Ppp1r16b	Dpy19l3	Flrt1	Nuak1	Arhgap29
Ptpn13	Gem	Mtss1	Ugp2	Pik3ap1	Plekhg1	Tnnc1	Npas3	Add3	Sptbn1	Sash1	Fryl	Uck2	Baiap2l1	Snrk	Ccn1
Vcan	Mmp2	Inpp5d	Edil3	Slc15a3	Tinagl1	Hes1	Dhx40	Cemip	Dock9	Adgre1	Runx3	Fbln5	Bend7	Cpm	Rapgef3
Il6st	Pde10a	Slfn8	Tnfaip6	Lrp12	Ephb4	Slfn5	Pcolce2	Thbs4	Ackr3	Notch2	Nedd9	Cd82	Neb	Stk38l	Chst15
Prkca	Col6a3	Fam83f	Spsb1	Nlrc3	Flt4	Casz1	Myo10	Nupr1	Ptgis	Fnip2	Pip4k2a	Ror1	Macrod1	Myom1	Plekhg1
Crim1	Pdlim1	Atp6v1c1	Ptprm	Cdc42bpg	Dennd5b	Ppp1r14c	Prps1	Tm4sf1	Slc20a1	Srgn	Hip1r	Cdh13	Spon1	Dock6	Nova2
Pxdc1	Hjurp	Rgl1	Slc20a1	Slc11a2	Ccn1	Il33	Cfh	Afdn	Scara5	Rgl1	Ikzf1	Flrt1	Slf2	Plxnd1	Rapgef5
Plpp3	Ptprf	Plcl2	Fam107b	Atp6v1c1	Timp3	Lsp1	Adarb1	Col4a2	Myo1b	Sdc4	Trpm2	Sdc2	Pmepa1	Adgrf5	Sema7a
Gfpt2	Baiap2	Ggta1	Frmd6	Trim25	Itga6	Cytip	Bcar3	Gpcpd1	Pi15	Pip4k2a	Sipa1l1	Myo10	Cdon	Atp6v0a1	Gpihbp1
Il1rl1	Fxyd5	Pid1	Ackr3	Rhbdf2	Fryl	Rrm2	Dlg2	Uck2	F3	Spi1	Lmnb1	Drp2	Chrnb1	Cdh6	Map4k3
Frmd6	Smoc2	Mrm2	4930523C07Rik	Impact	Adgrl4	Col14a1	Axl	Nfatc1	Sfrp1	Pik3ap1	Samsn1	Pcolce2	Bcar3	Batf	Kitl
Ctdspl	Cry2	Snx8	Dgkh	Lgals3	Tspan12	Apobec2	Ptprk	Cobll1	Ecm2	Pik3r5	Neurl3	Plxdc2	Cd82	Trpc3	Dgkh
Tshz2	Ror1	Aim2	Col12a1	Dock10	Shroom4	Itgbl1	Pde10a	Rin2	Ifi204	Psap	Abca5	Col6a6	Abca5	Tbx3	Adgrf5
Pdlim1	Tnfaip6	Pik3r5	Cnn3	Plcl2	Podxl	Calcr	Col19a1	Irf1	Fn1	Ankrd33b	Il21r	Samd4	Abca8b	Nid1	Ephb4
Cry2	Dock6	Arhgap22	Cpxm2	Tank	Ldb2	Htra3	Map2	Nuak1	Spsb1	Sh2b2	Hsd11b1	Lama2	Ank3	Lox	Plxna2
Slc20a1	Apod	Il7r	Lhfpl2	Wdr91	Iigp1	Cthrc1	Cdh13	Ptprf	Prkca	Hmox1	Sirpa	Cip2a	Palmd	Serpini1	Sh3tc1
Cacna1c	Serpine1	Rhbdf2	Plod2	Camk1d	Nova2	Atp2a1	Pappa	Fbn2	Heyl	Lyn	Stat4	Chd7	Tle4	Ppm1n	Limch1
F3	Rdh10	Notch2	Dock9	Alcam	Ptprg	Nipsnap2	Drp2	Ltbp2	Serpine2	Rhbdf2	Sh2d3c	Tbx3	Klf5	Col4a2	Apobec3
Plat	Sptbn1	Slc16a6	Angptl2	Pfkfb3	Cemip2	Sparcl1	Fryl	Mrc2	Ripor3	Abl2	Nfkbie	Fryl	Rbpms2	Cbx4	Sept4
Uap1	Ncald	Wdr91	Pxdc1	Basp1	Lama5	Thy1	Col5a1	Tgfbr3	Tnc	Cass4	Gimap5	Sytl2	Ccdc88c	Synpo2	Gda
Dab2	Sfrp1	Csf2rb	Samd4	Tbc1d9	Nid1	Myl2	Zfp568	Lox	Ctsk	Ptprj	D16Ertd472e	Tanc2	Samd4	Adap2	Egfl7
Map1b	Igfbp5	Osbpl8	Uap1	Pcyt1a	Dnm3	H2-Eb1	Crlf1	Spata13	Pard6g	B4galt5	Stk38l	Syne2	Smc4	Eva1c	Plxnd1
Dusp10	Slc20a1	Sash1	Postn	Mapkapk3	Plscr2	Lbp	Cav1	Shroom4	Map1b	Ell2	Itga4	Errfi1	Ttn	Frmd4b	Dach1
D16Ertd472e	Spsb1	Cd86	Slc12a2	Pde1b	Ptprm	Col22a1	Ror1	Ripor3	Plagl1	Mmp19	Crybg1	Tjp1	Adamts2	Lama5	Fryl
Ptx3	Ebf1	Plin2	Stk38l	Eps8	Chst15	Ica1	Pcdh9	Hbegf	Arl13b	C9orf72	Nr4a1	Ackr3	Sema3e	Ccdc3	Pik3r1
Has2	Abi3bp	Crlf3	Cemip	Plaur	Nedd9	Mmp23	Met	Col6a2	Spats2l	Cpeb2	Sh3tc1	Eaf1	Otoa	Csrp2	Lamb1
Lsmem1	Col8a1	Cass4	Afdn	Tec	Apold1	Meox2	Eya4	Gfpt2	Gclc	Slc49a4	Dock2	Adgre5	Slc9a9	Ccn1	Prex2
Rdh10	Col4a1	Csf2rb2	Jdp2	Cdk6	Pxdc1	Fndc1	Ablim1	Ppm1n	Fgfr1	Pcyt1a	Il10ra	Rnf125	F2r	Adamts15	Ckap2
Dlc1	Cnn3	Cacna1d	Tgfb2	Cpeb2	Chd7	Wnt11	Rem1	Ebf1	Pxdc1	Oasl1	Cotl1	Pkp4	Ctnnal1	Cry2	Col28a1
Il6ra	C7	Entpd1	Csrp1	Atg2a	Epha2	Sh3bgr	Kif21a	4930523C07Rik	Cnn3	Ptprc	Mctp2	Ltbp1	Npas3	Meox2	Sybu
Hlf	Ptprm	Tnfrsf11a	Axl	Emilin2	Aplnr	Uaca	Bmp6	Creb5	Stat1	Slc8b1	St8sia4	Greb1	Mtss1	Iffo1	Adgrl4
Fam107b	Cemip2	Gas2l3	Sdc2	Ifih1	Rgs3	Nrap	Abca8b	Edil3	Chrnb1	Lpxn	Spata13	Gcnt2	Dpy19l3	Hjurp	Spata13
Pde10a	Samd4	Cdc42bpg	D16Ertd472e	Ptprc	Rbpms	Fgfr4	Ank3	Ablim1	Crip1	Abr	Sp100	Cav1	Il34	Il6	Map1b
Myo1b	Slc10a6	Dclre1c	Ezr	Ggta1	Dock9	Tmod4	Dpy19l3	Cnksr2	Gramd3	Ms4a7	Adora2a	Nav2	Tbx3	Cp	Rgs3
Axl	Lsp1	Emilin2	Ehd4	Hk3	Bmp4	Cd163	Bmper	Mylk	Rnf125	Stard8	Ncf2	Slc43a3	Errfi1	Gpc3	Nid1
Dennd4a	Sema3c	Cd84	Ugdh	Zc3h12c	Trim30a	Cxcl16	Gcnt2	Plcb4	Tek	Slc7a8	Zfand2a	Pmepa1	Tenm4	Csf1r	Shroom4
Wee1	Nr2f2	Traf1	Tgfbi	Fes	Icam1	Ltbp4	Nrep	Grasp	Sema3c	Dock10	Cep55	Dmd	Slc43a2	Igfbp5	Sncaip
Timp1	Bmper	Tnf	Spats2l	Prr5l	Erg	Cdkn1c	Il34	Rasl11b	Cry2	Il10ra	Slc15a3	Ehd4	Hs6st2	Dennd5b	Iigp1
Mt2	Flnb	Lgals3	Bcr	Vps37b	Map4k3	Abca8a	Cp	Il6st	Vcan	Wdr81	Adgrg1	Fgf18	Sptbn1	Bmp5	BC028528
Gclc	Spats2l	Alcam	Nr4a1	Slc38a1	Lipe	Tnik	Gjc1	Crip1	Ifi205	Mdm2	Brca1	Col8a1	Greb1	Afap1l1	Lama4
Sfrp4	Tln2	Tcirg1	Ltbp2	Vps18	Sybu	C1qtnf3	Dclk3	Id3	Dkk2	Igsf6	Dhrs3	Pcdh17	Sgms1	Tspan12	Rasgrp3
Flnc	Fgd5	Renbp	Abi3bp	Psap	Prex2	Iqsec3	Inhbb	Wdfy2	Bmper	Alcam	Prkcq	Chrnb1	Grk3	Notch3	Tle4
Casp4	Aldh1a2	Tec	Sptbn1	Ubash3b	F10	Tacc3	Nfatc1	Lrrc15	Gem	Rab7b	Rnf125	Ifngr1	Il6st	Efhd1	Dennd3
Fstl1	Itpkc	Pik3r1	Eya4	Lsmem1	Adamts4	Notch3	Tek	Pxdn	Nfkbie	Mtss1	Itpkb	Nrk	Reln	Acss1	Ldb2
Baiap2	Pxdc1	Map4k3	Fn1	Tet3	Endou	Tgfbi	Zim1	Mt2	Samd4	Tnf	Gas2	Arhgap29	Dusp10	Mxd1	Ablim1
Fam13c	Add3	Pde1b	Npas3	Samd9l	Adamts9	Srpx2	Tmem47	Dbn1	Adamts1	Clec12a	Selplg	Tnik	Spats2l	Sdc2	Gngt2
Pkp4	Hells	Adap2	Igfbp3	Rasa4	Kitl	Rasgrp2	Stk32a	Map1b	Dlk1	Txnrd1	Itpkc	Unc13b	Cdh13	Sdc1	Myo10
Ptprm	Wee1	Hpgds	Col5a1	Il1a	Bcr	Myo1g	Uck2	Itgb8	Rbpms	Wdfy4	Mxd1	Tenm4	Ar	Apold1	Adamts9
Slc7a5	Xdh	Itprid2	Baiap2	Renbp	Sncaip	Col6a2	Hs6st2	Reln	Man1a	Rasgef1b	Notch1	Ldlr	Fxyd6	Sparcl1	Lmo7
