Endothelial	FAPs	Fibrogenic	M2 Macrophages	Monocytes	Myeloid	Myonuclei	NK Cells	Neutrophils	Pericytes	T Cells	Tenocytes
Shroom4	Rbms3	Dcn	Apoe	Ccnf	Msr1	Tpm2	Tnfrsf9	Dhrs9	Filip1	Arap2	Kcnma1
Ptprk	Adam12	Wwtr1	Osbpl8	Psap	Carmil1	Rcan1	Itgb3	Gsap	Lamb1	Dennd4a	Cacna2d1
Cdh13	Dlc1	Syne1	Plekhb2	Plxna4	Zeb2	Rtp4	Sidt1	Myo1d	Prkg1	Il7r	Rasal2
Plekhg1	Ebf1	Bmpr1b	Lrp12	Adgrl2	Tnfrsf11a	Fcgrt	P2ry10	Ankrd33b	Pde3a	Tspan13	Egfr
Apbb2	Srgap1	Chsy3	Cd86	Ctsk	Slc8b1	Syngr1	Zeb1	Plbd1	Tmem47	St8sia4	Rhoj
Lmo7	Arhgap42	Dpysl3	Reps2	Spdl1	Tlr7	Ktn1	Itk	Zfp608	Prrx1	Il1r2	Serpine1
Dnm3	Prickle1	Kcnma1	Cd36	Slc9b2	Malt1	Arrdc4	Vps37b	Adgre5	Rasal2	Gpr183	Cdh11
Dock9	Npas2	Fat1	Fnip2	Gpr137b	Chd7	Sgcd	Tox	Tnfrsf26	Yap1	Irf4	Ackr3
Ptprg	Flnb	Mpdz	Blnk	Pde4dip	Rai14	Fxyd1	Ifngr1	Pag1	Prc1	Klra17	Svep1
Ablim1	Dst	Bcat1	Slc38a6	Arsb	Cav2	Wnt9a	Abcb1a	Ripor2	Ccnd2	Plxnc1	Zfp385b
Thsd7a	Epb41l3	Col27a1	Slc38a1	Slc38a6	Lpin2	Ifngr1	Fhl2	Fas	Col4a1	Cd83	Col6a2
Yes1	Mast4	Heg1	Slc26a11	Tyms	Cdk6	Angpt1	Ugcg	N4bp1	Adamts2	Nuak2	Auts2
Epas1	Rora	Adamts5	Mrc1	Tfrc	Fnip2	Rarres2	Pitpnc1	Gcnt2	Nudt4	S100a11	Creb3l2
Tanc1	Cacna1c	Ptprm	Stab1	Fbxo32	Arl5c	Mef2c	Fam107b	Olr1	Arhgef7	Selplg	Fn1
Rbpms	Osmr	Mast4	Gas2l3	Pmepa1	Slc39a14	Pde4dip	Dgat1	Tnf	Cacna1c	Ramp3	Pcsk5
Stox2	Uap1	Cd300lf	Samd8	Cenpw	Kcnn4	Ifitm10	Ppp1r16b	Fgd3	Cdc42bpa	Tbc1d4	Cald1
Etl4	Tead1	Sema7a	Lgals3	Etv3	Fam20c	Clec4n	Plac8	Irak2	Maged2	Fli1	Tm4sf1
Mecom	Sgcd	Prdx1	Mndal	Nsd2	Il7r	Arhgef12	Vgll4	Tmem154	Itga1	Dusp5	Plod2
Yap1	Ust	Gfpt2	Slamf7	Creb3l2	F13a1	S100a6	Skap1	Klra2	Msrb3	Sp140	Mmp2
BC028528	Enah	Ust	Ifitm10	Ctsl	Pitpnc1	Epsti1	Rnf125	Itgal	Tpm1	Nr4a3	Cnn3
Amotl1	Sorcs2	Slc7a2	Psd3	Cadm1	Dmxl2	Fst	Il18r1	Mreg	Pls3	Basp1	Palld
Tcf4	Calu	Nckap1	Cdk6	Nuak2	Slc25a4	Clec4e	Crem	Treml4	Adgrg2	Map3k14	Col5a2
Pdzd2	Cacna2d1	Bicc1	Mdm2	Acp5	Traf1	Tmem263	Tmem123	Clec5a	Adamts12	Sema7a	Rbms3
Plxna2	Adarb1	Crim1	Ednrb	Hjurp	Samd8	Maged2	Mctp2	Nod1	Atp8b1	Mxi1	Sdc2
Adgrl4	Slc4a4	Lix1l	Jdp2	Cav2	Prdm1	Pygl	Pdcd4	Arhgef3	Gli2	Cd86	Galnt17
Ptprm	Mcc	Srpx2	P2ry10b	Pik3r1	Plekhb2	Slc16a2	Plxnc1	Retreg1	Art3	Mmp25	Lima1
Epn2	Galnt17	Tgfb2	Cpd	Zfp462	Cpd	Tcea3	Runx3	Cd84	Plekhg5	Grap2	Prickle1
Mef2c	Zfp462	Fam171b	Hmox1	Myo1b	Fam20a	Atf3	Tut4	Gfod1	Pdgfrb	Antxr2	Sulf1
Rbfox2	Tshz2	Flnb	Nfkbia	Cd200	Ctsb	Slco5a1	Dusp5	Antxr2	Akap12	Clec10a	Arhgef12
Mgll	Nav3	Pde4dip	Stard8	Top2a	Vcan	Txnip	Hip1r	Gk	BC028528	Snx20	Arhgap42
Magi1	Pck2	Sema3c	Ifi203	Fnip2	Anpep	Creg1	Ikzf2	Hip1r	Tnks1bp1	Rgs1	Msrb3
Lama4	Rbfox2	Thbs4	Slpi	Actn1	Mmp19	Nfib	D16Ertd472e	Cxcl2	Hjurp	Ass1	Adamts1
Arhgef12	Ltbp1	Dnm3	Galnt6	Arrdc4	Notch2	Efemp2	Rcn1	Icam1	Zcchc14	Ust	Hk2
Tmem47	Tmem263	Lima1	Srgn	Cit	Gas2l3	Runx3	Stk39	Birc3	Pde1a	Timd4	Sorcs2
Adgrl2	Dusp10	Sgcd	Gpr137b	Kif15	Ahr	Slc31a2	Acp5	Fbxl5	Sptbn1	Pmaip1	Itgbl1
Tjp1	Heg1	Grap2	Basp1	Tnfrsf11a	Cd36	Garem1	Selplg	Fam102a	Stk39	H2-DMb1	Npas2
Atp8b1	Hk2	Slc38a1	Pmp22	Slc31a2	Abca1	Ap1b1	Atad2	4930523C07Rik	Cit	Pik3r1	Vcl
Socs5	Pdgfc	Synpo2	Lhfpl2	Rsbn1	Mefv	Epas1	Ust	Actn1	Phldb2	Cdc42ep3	Dst
Hspg2	Msrb3	Fgfr1	Adgre1	Serpinb6a	Itga1	Socs2	Ets1	Slc22a15	Crim1	Stat4	Amotl2
Lamb1	Bmpr1a	Adgrg2	Il10	Scarb1	Pmp22	Pilra	Arap2	Trem3	Ptprk	Tut4	Dnm3
Slc12a2	Nfia	Cenpw	Ms4a7	Fam102a	Apobec1	Dcn	Nr4a3	Ahi1	Trim2	Zeb1	Pdlim1
Sptbn1	Mmp2	Cav1	Ltc4s	Smc4	Tnip3	Macrod1	Adamts14	Sgms2	Arhgap42	Grasp	Abi3bp
Rasal2	Il1rl1	Uap1	Anpep	Malt1	Entpd7	Hdc	Grap2	Zeb2	Cd200	Kit	Pamr1
