Endothelial	FAPs	Fibrogenic	M2 Macrophages	Monocytes	Myeloid	Myonuclei	NK Cells	Neutrophils	Pericytes	T Cells	Tenocytes
Sncaip	Dst	Ogn	Slc9a9	Slc29a3	Slc16a10	Lmna	Fryl	Cd9	Pde3a	Gpr137b	Slc16a2
Cyyr1	Trabd2b	Dlc1	Slc8a1	Psap	Fnip2	Zbtb20	Ptpn22	Ncf1	Sntb1	Vdr	Dnm3
Erg	Dlc1	Tgfbr3	Nrp2	Ctsk	Lrp1	Ss18l2	Pmepa1	Irak2	Crispld2	Gpr183	Rora
Ptprm	Rora	Fbn1	Psd3	Gpr137b	Sash1	Stard10	Rnf125	Sema4d	Aspn	Gan	Svep1
Plcb4	Pdlim1	Adamts2	Frmd4b	Grk3	Zc3h12c	Ktn1	Arap2	Dhrs9	Cuedc1	Sema7a	Stard13
Rasal2	Thy1	Ackr3	Wdfy3	Slc37a2	Lgals3	Tpm2	Dgat1	Csf1	Dlc1	Fyn	Cped1
Ebf3	Osmr	Wtip	Abl2	Rif1	Slc7a8	Pip5k1b	Tut4	Sgms2	Col18a1	Tbc1d4	Fscn1
Dock9	Slit3	Tnxb	Zfand2a	Adgrl2	Malt1	Syngr1	Sntb1	Chst11	Fam162a	Ramp3	Col12a1
Meox2	Cped1	Col5a1	Tmcc3	Tcirg1	Lamc1	Nfix	Plcxd2	Il1rap	Csrp2	Kynu	Trabd2b
Limch1	Sptbn1	Cp	Itsn1	Mprip	Il7r	Nfib	Ppp1r16b	Dock5	Ltbp1	Gcnt2	Arhgef12
Ptprg	Dnm3	Utrn	Mrc1	Wee1	Il1r1	Rtp4	Bcl2	Iqsec1	Slc12a2	Tut4	Adamts2
Plekhg1	Fgf2	Loxl1	Abcg3	Smc2	Plcb1	Esd	Abcb1a	Alas1	Ccn2	Satb1	Mt1
Ttc28	Tshz2	Diaph3	Lrp12	Fscn1	2510009E07Rik	Nr2f2	Ccdc88c	Sp140	Cthrc1	Etv3	Zcchc14
Ebf1	Zfhx3	Col8a1	Stab1	Dnah2	B3gnt5	P4hb	Cpm	Optn	Dmd	Clec10a	Col5a2
Dgkh	Flnc	Crip1	Ocrl	Lman1	Met	Tacc2	Fgf13	Myo1d	Sparcl1	Lrrc8c	Tgfbr3
Id3	Pxdc1	Col14a1	Fnip2	Agap1	Osbpl8	6430548M08Rik	St6galnac3	Cass4	Fgf13	Tiparp	Fermt2
Dnm3	Wtip	Plpp3	Sdc4	Pmepa1	Abca1	Adprhl1	Ikzf3	Arhgef3	Ednrb	Arap2	Anxa1
Rbpms	Rnd3	Bgn	Mtss1	Mtss1	Ahr	Atf3	Tnfrsf9	Zfp608	Serping1	Slc29a3	Emp1
Rasgrf2	Gramd3	Mmp2	Osbpl8	Fnip2	Slc8a1	Fcgrt	Aplp2	Tnfrsf23	Epn2	Tmem123	Zfhx3
Etl4	Heg1	Col6a3	Igf1	Txnrd1	Cgnl1	Nr4a2	Cd82	Clec5a	Adamts4	Stat2	Serping1
Adgrl2	Utrn	Trabd2b	Mertk	Gclc	Gas2l3	Ms4a6b	Mcm6	Nab1	Sdc2	Id2	Dst
Dipk2b	Anxa1	Csrp2	Stard8	Gclm	Kcnn4	Smarcd3	Tmem123	Cd101	Zfhx3	Plxnc1	Tjp1
Rgs3	Fermt2	S100a6	Slamf7	Myo1b	Fbxo32	Dab2ip	D16Ertd472e	Ankrd33b	Mrc2	Il1r2	Cpne8
Mrtfb	Nr2f2	Col1a2	Cd36	Errfi1	Fyn	Mt2	Gimap9	Adgre5	Mrtfb	B3gnt5	Ttc28
Epn2	Csgalnact1	Osmr	Ddhd1	Reps2	Cd36	Myl4	Tnfrsf18	Slc7a11	Ebf3	Cd80	Pcdh7
Adgrl4	Arhgef12	Stard13	Unc93b1	Ago2	Slamf7	Igf2bp2	Nr4a3	Plaur	Ccn1	Tspan13	Thbs2
Plxna2	Enah	Flnc	Adgre1	Efnb2	Lifr	Ryr1	Lrrc8c	Hdc	Art3	Irf4	Plod2
Ptprb	Stard13	Zfhx3	Ms4a14	Abcg3	Ifi203	Fam13c	Dpp4	Trem3	Amotl1	Dpp4	Slit3
