0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Ugdh	Mast4	Dock2	Gem	Apoe	Sema6a	Atf3	Lama2	Sox6	Cxcl10	Ifi207	Atp6v0a1	Diaph3	Tnik	Ednra	Mecom
Col12a1	Col8a1	Lyn	Gnas	Elmo1	Rbpms	Rcan1	Cav1	Plod2	Ebf1	C5ar1	Cfh	Gjc1	Ank3	Sntb1	Gpihbp1
Cd44	Tshz2	Entpd1	Serpine1	Dennd1a	Cyyr1	Serpine2	Gcnt2	Thbs4	Lgr5	Mctp1	Tpd52	Pde3a	Palmd	Rasgrp2	Mef2c
Vcam1	Ebf2	Rbm47	Epha3	Aoah	Magi1	Fryl	Ank3	Nupr1	Comp	Dennd1a	Lyn	Sox6	Cobl	Cd151	Eng
Ppp1r2	Nova1	Slc15a3	Myo10	Trf	Ptprm	Cdkn1c	Tnik	Bmp5	Tm4sf1	Ubash3b	Sh2b2	Col5a1	Pkp4	Arap2	Lama5
Casp4	Tgfbr3	Lgals3	Cfl2	Cd86	Mecom	Sema5a	Tmem47	Ncam1	Slc1a3	Ptprc	Slc11a1	Col5a2	Acta2	Gpc3	Magi1
Cp	Ly6c1	Tnip3	Sqstm1	Mctp1	Ablim1	Cobl	Cd82	Myo1b	Nr4a2	Sgpl1	Plaur	Adgrl3	Gcnt2	Itga1	Sorbs1
Lsamp	Meox2	Zeb2	Sntb1	Camk1d	Ptprg	Il1b	Syne2	Gem	Filip1l	Cacna1d	Reps2	Pmepa1	Cd82	Bmp5	Arhgap18
Creb5	Abca8a	Cd86	Edil3	Lyn	Plcb4	Cflar	Frmd6	Slc12a2	Itga4	Apoe	Dock10	Mast4	Filip1l	Dock6	Fryl
Timp1	Eln	Elmo1	Ebf1	Slc9a9	Itpr1	Sparcl1	Col5a2	Atf3	Tjp1	Inpp5d	Bcl2l11	Nr2f2	Pmepa1	Lama5	Pkp4
Uap1	Col14a1	Syk	Myo1b	Blnk	Shank3	Fyb	Col8a1	Pde4b	Tshz2	Slc16a10	Tbxas1	Tnik	Nexn	BC028528	Prex2
Tnfaip6	Nox4	Adgrg6	Nr4a3	Synj1	Sorbs2	S100a6	Filip1l	Spry2	Ltbp4	Dock2	Ptpro	Itga4	Hmcn2	Sorbs1	Nav2
Tm4sf1	Smoc2	Sgms1	Plagl1	Slc16a10	Plcb1	Cd151	Acer3	Fosb	Sema5a	Tle4	Synj1	Plxna2	Cav1	Filip1	Znrf1
Tnc	Abca9	Cux1	Mt1	Cux1	Sorbs1	Steap4	Ddr2	Tgfbr3	Bmper	Rasgef1b	Mrc1	Postn	Slc10a6	Dock8	Dach1
Tshz2	Abca8b	Mob3b	Inhba	Cd36	Cd151	Chd7	Abcb1b	Dgkb	Nrp1	Washc2	Atp2b1	Pamr1	Spon1	Dgkb	Afdn
Apod	Fbn1	Alcam	Rspo2	Kcnk13	Samd12	Itgbl1	Iqgap2	Gnas	Nfkbia	Pycard	Slc16a10	Filip1l	Ncam1	Crispld2	Ppp1r13b
Vcan	Vcan	Inpp4b	Myoz2	Zdhhc14	Prkch	Nr4a2	Pmepa1	Gjc1	Mt2	Atp6v1c1	Cndp2	Epha3	Galnt18	Cd200	Sorbs2
Il1rl1	Svep1	Ctsb	Mmp2	Skap2	Cdh13	Il7r	Cp	Cfl2	C3	Fyb	Plcg2	Cndp2	Sntb1	Maf	Calcrl
Xdh	Heg1	Inpp5d	Ncam1	Fnip2	Arhgap31	Nav2	Asb5	Acan	Plagl1	Fnip2	Lpxn	Col6a3	Cdh13	Itga4	Asap2
Mast4	Fgf1	St8sia4	Gas2	Alcam	Gpihbp1	Slamf7	Nav2	Nr4a2	Bicc1	Cd86	Nfkbid	C1qtnf3	Lama2	Itgb3	Adgrf5
